#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
303	909.030	-10.001	908.862
304	909.060	-9.612	908.890
305	909.090	-8.773	908.922
306	909.120	-8.283	908.952
307	909.150	-8.217	908.977
308	909.180	-8.229	909.011
309	909.210	-7.938	909.043
310	909.240	-7.511	909.072
311	909.270	-7.241	909.099
312	909.300	-6.439	909.132
313	909.330	-5.314	909.158
314	909.360	-4.375	909.194
315	909.390	-3.947	909.222
316	909.420	-3.650	909.252
317	909.450	-3.076	909.285
318	909.480	-2.372	909.312
319	909.510	-1.802	909.342
320	909.540	-1.207	909.370
321	909.570	-0.207	909.398
322	909.600	0.848	909.431
323	909.630	1.587	909.461
324	909.660	2.036	909.488
325	909.690	2.566	909.522
326	909.720	2.948	909.551
327	909.750	3.190	909.583
328	909.780	3.543	909.614
329	909.810	4.127	909.640
330	909.840	5.089	909.669
331	909.870	5.845	909.701
332	909.900	6.039	909.728
333	909.930	6.190	909.762
334	909.960	6.399	909.792
335	909.990	6.657	909.823
336	910.020	7.099	909.852
337	910.050	7.667	909.883
338	910.080	8.519	909.912
339	910.110	9.022	909.940
340	910.140	9.042	909.971
341	910.170	8.887	910.001
342	910.200	8.970	910.032
343	910.230	9.094	910.061
344	910.260	9.218	910.088
345	910.290	9.167	910.120
346	910.320	9.061	910.150
347	910.350	8.925	910.181
348	910.380	8.493	910.210
349	910.410	7.953	910.243
350	910.440	7.515	910.270
351	910.470	7.277	910.305
352	910.500	6.878	910.327
353	910.530	6.444	910.367
354	910.560	6.029	910.392
355	910.590	5.581	910.424
356	910.620	5.269	910.451
357	910.650	4.574	910.480
358	910.680	3.816	910.510
359	910.710	3.200	910.541
360	910.740	2.780	910.568
361	910.770	2.223	910.600
362	910.800	1.693	910.632
363	910.830	1.157	910.661
364	910.860	0.707	910.693
365	910.890	0.091	910.723
366	910.920	-0.646	910.751
367	910.950	-1.348	910.781
368	910.980	-2.000	910.814
369	911.010	-2.381	910.838
370	911.040	-2.866	910.874
371	911.070	-3.108	910.901
372	911.100	-3.297	910.932
373	911.130	-3.635	910.958
374	911.160	-4.187	910.989
375	911.190	-4.786	911.022
376	911.220	-5.215	911.048
377	911.250	-5.302	911.080
378	911.280	-5.216	911.108
379	911.310	-5.193	911.140
380	911.340	-5.218	911.168
381	911.370	-5.399	911.201
382	911.400	-5.864	911.234
383	911.430	-6.667	911.259
384	911.460	-7.323	911.291
385	911.490	-7.749	911.322
386	911.520	-7.845	911.352
387	911.550	-7.924	911.380
388	911.580	-7.967	911.409
389	911.610	-8.096	911.444
390	911.640	-8.334	911.468
391	911.670	-8.653	911.502
392	911.700	-8.648	911.532
393	911.730	-8.305	911.559
394	911.760	-7.739	911.592
395	911.790	-7.105	911.622
396	911.820	-6.819	911.650
397	911.850	-6.537	911.678
398	911.880	-6.455	911.714
399	911.910	-6.325	911.742
400	911.940	-6.202	911.772
401	911.970	-5.754	911.800
402	912.000	-4.950	911.830
403	912.030	-4.300	911.865
404	912.060	-3.864	911.890
405	912.090	-3.544	911.920
406	912.120	-3.224	911.954
407	912.150	-2.885	911.980
408	912.180	-2.720	912.011
409	912.210	-2.310	912.040
410	912.240	-1.754	912.068
411	912.270	-1.062	912.101
412	912.300	-0.513	912.130
413	912.330	-0.181	912.158
414	912.360	0.137	912.193
415	912.390	0.592	912.220
416	912.420	1.014	912.249
417	912.450	1.453	912.284
418	912.480	1.965	912.312
419	912.510	2.691	912.340
420	912.540	3.290	912.365
421	912.570	3.872	912.400
422	912.600	4.480	912.429
423	912.630	5.131	912.464
424	912.660	5.908	912.492
425	912.690	6.686	912.523
426	912.720	7.426	912.548
427	912.750	8.277	912.581
428	912.780	9.133	912.610
429	912.810	9.762	912.644
