Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
790	239.450	202.539	239.320
791	239.500	203.972	239.370
792	239.550	174.687	239.423
793	239.600	115.305	239.473
794	239.650	26.853	239.523
795	239.700	-76.182	239.576
796	239.750	-113.895	239.625
797	239.800	-92.610	239.674
798	239.850	-76.987	239.721
799	239.900	-82.818	239.773
800	239.950	-102.324	239.822
801	240.000	-133.996	239.869
802	240.050	-205.661	239.921
803	240.100	-323.438	239.970
804	240.150	-399.369	240.026
805	240.200	-367.766	240.073
806	240.250	-300.560	240.122
807	240.300	-227.386	240.171
808	240.350	-182.673	240.222
809	240.400	-178.004	240.271
810	240.450	-203.220	240.326
811	240.500	-245.525	240.376
812	240.550	-284.374	240.422
813	240.600	-286.980	240.473
814	240.650	-179.950	240.523
815	240.700	-38.569	240.571
816	240.750	28.773	240.623
817	240.800	49.634	240.672
818	240.850	44.750	240.730
819	240.900	30.064	240.776
820	240.950	10.067	240.819
821	241.000	-7.951	240.875
822	241.050	-2.479	240.922
823	241.100	78.789	240.972
824	241.150	273.864	241.017
825	241.200	376.829	241.070
826	241.250	343.261	241.122
827	241.300	254.633	241.172
828	241.350	172.170	241.220
829	241.400	134.953	241.272
830	241.450	132.593	241.318
831	241.500	148.550	241.373
832	241.550	163.851	241.423
833	241.600	177.747	241.468
834	241.650	185.467	241.523
835	241.700	140.869	241.572
836	241.750	68.920	241.622
837	241.800	25.488	241.672
838	241.850	10.990	241.719
839	241.900	3.741	241.769
840	241.950	-10.263	241.823
841	242.000	-11.104	241.872
842	242.050	7.897	241.925
843	242.100	16.725	241.971
844	242.150	21.427	242.023
845	242.200	25.059	242.071
846	242.250	21.636	242.121
847	242.300	10.094	242.173
848	242.350	-3.540	242.220
849	242.400	-6.103	242.272
850	242.450	9.832	242.326
851	242.500	25.161	242.369
852	242.550	20.074	242.426
853	242.600	6.807	242.474
854	242.650	-7.181	242.522
855	242.700	-33.947	242.569
856	242.750	-88.639	242.617
857	242.800	-161.046	242.675
858	242.850	-202.428	242.724
859	242.900	-203.434	242.776
860	242.950	-195.465	242.823
861	243.000	-190.767	242.872
862	243.050	-185.932	242.926
863	243.100	-186.013	242.977
864	243.150	-191.223	243.022
865	243.200	-190.684	243.073
866	243.250	-186.537	243.123
867	243.300	-175.233	243.172
868	243.350	-134.284	243.224
869	243.400	-92.158	243.271
870	243.450	-50.673	243.326
871	243.500	-31.667	243.373
872	243.550	-37.735	243.424
873	243.600	-25.692	243.471
874	243.650	-3.409	243.526
875	243.700	1.896	243.574
876	243.750	11.839	243.624
877	243.800	50.122	243.676
878	243.850	119.856	243.726
879	243.900	149.432	243.770
880	243.950	148.210	243.827
