#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
325	909.690	-1.255	909.519
326	909.720	-1.702	909.551
327	909.750	-2.055	909.579
328	909.780	-2.313	909.612
329	909.810	-2.533	909.642
330	909.840	-2.678	909.671
331	909.870	-2.848	909.699
332	909.900	-3.126	909.732
333	909.930	-3.413	909.760
334	909.960	-3.648	909.792
335	909.990	-3.819	909.824
336	910.020	-4.061	909.849
337	910.050	-4.291	909.881
338	910.080	-4.567	909.912
339	910.110	-4.853	909.943
340	910.140	-5.086	909.971
341	910.170	-5.488	910.000
342	910.200	-5.930	910.033
343	910.230	-6.160	910.060
344	910.260	-6.416	910.090
345	910.290	-6.353	910.114
346	910.320	-6.243	910.151
347	910.350	-6.107	910.181
348	910.380	-6.091	910.212
349	910.410	-6.229	910.243
350	910.440	-6.383	910.269
351	910.470	-6.414	910.304
352	910.500	-6.254	910.330
353	910.530	-5.935	910.365
354	910.560	-5.639	910.391
355	910.590	-5.331	910.423
356	910.620	-5.052	910.451
357	910.650	-4.901	910.482
358	910.680	-4.631	910.513
359	910.710	-4.518	910.541
360	910.740	-4.208	910.568
361	910.770	-3.853	910.604
362	910.800	-3.540	910.634
363	910.830	-3.410	910.660
364	910.860	-3.294	910.694
365	910.890	-3.090	910.722
366	910.920	-2.914	910.749
367	910.950	-2.472	910.784
368	910.980	-1.833	910.814
369	911.010	-1.249	910.841
370	911.040	-0.614	910.870
371	911.070	0.059	910.901
372	911.100	0.754	910.929
373	911.130	1.255	910.959
374	911.160	1.573	910.989
375	911.190	1.810	911.021
376	911.220	2.119	911.052
377	911.250	2.654	911.082
378	911.280	3.261	911.109
379	911.310	3.821	911.142
380	911.340	4.531	911.169
381	911.370	5.200	911.207
382	911.400	5.681	911.233
383	911.430	6.300	911.259
384	911.460	6.893	911.294
385	911.490	7.577	911.322
386	911.520	8.223	911.353
387	911.550	8.909	911.379
388	911.580	9.412	911.408
389	911.610	9.671	911.443
390	911.640	9.518	911.470
391	911.670	9.235	911.500
392	911.700	9.025	911.531
393	911.730	8.826	911.559
394	911.760	8.745	911.590
395	911.790	8.710	911.626
396	911.820	8.494	911.652
397	911.850	8.242	911.683
398	911.880	7.879	911.711
399	911.910	7.401	911.742
400	911.940	6.754	911.772
401	911.970	6.160	911.803
402	912.000	5.479	911.830
403	912.030	4.780	911.862
404	912.060	4.107	911.891
405	912.090	3.372	911.920
406	912.120	2.546	911.951
407	912.150	1.728	911.982
408	912.180	1.020	912.010
409	912.210	0.518	912.040
410	912.240	0.217	912.071
411	912.270	-0.080	912.098
412	912.300	-0.495	912.132
413	912.330	-0.992	912.159
414	912.360	-1.699	912.194
415	912.390	-2.429	912.219
416	912.420	-3.051	912.251
417	912.450	-3.766	912.283
418	912.480	-4.263	912.310
419	912.510	-4.868	912.342
420	912.540	-5.479	912.373
421	912.570	-6.280	912.402
422	912.600	-7.133	912.429
423	912.630	-7.889	912.458
424	912.660	-8.328	912.491
425	912.690	-8.524	912.521
426	912.720	-8.491	912.556
427	912.750	-8.406	912.580
428	912.780	-8.371	912.612
429	912.810	-8.383	912.640
430	912.840	-8.498	912.674
431	912.870	-8.544	912.702
432	912.900	-8.502	912.732
433	912.930	-8.326	912.760
434	912.960	-8.107	912.794
435	912.990	-7.877	912.822
436	913.020	-7.662	912.850
437	913.050	-7.507	912.881
438	913.080	-7.270	912.911
439	913.110	-7.004	912.942
440	913.140	-6.400	912.970
441	913.170	-5.785	913.001
442	913.200	-5.035	913.031
443	913.230	-4.367	913.061
444	913.260	-3.585	913.090
445	913.290	-3.051	913.122
446	913.320	-2.538	913.150
447	913.350	-2.149	913.181
448	913.380	-1.646	913.212
449	913.410	-1.070	913.243
450	913.440	-0.456	913.269
451	913.470	0.072	913.305
452	913.500	0.472	913.333
453	913.530	0.856	913.364
454	913.560	1.111	913.393
455	913.590	1.607	913.422
456	913.620	2.235	913.450
457	913.650	2.873	913.483
458	913.680	3.525	913.516
459	913.710	4.131	913.540
460	913.740	4.723	913.572
461	913.770	5.151	913.605
462	913.800	5.320	913.632
463	913.830	5.571	913.662
464	913.860	5.639	913.692
465	913.890	5.790	913.720
466	913.920	5.995	913.754
467	913.950	6.148	913.781
468	913.980	6.252	913.810
469	914.010	6.247	913.840
470	914.040	6.199	913.871
471	914.070	6.162	913.905
472	914.100	6.276	913.931
473	914.130	6.382	913.963
474	914.160	6.524	913.993
475	914.190	6.609	914.020
476	914.220	6.572	914.051
477	914.250	6.397	914.082
478	914.280	6.060	914.110
479	914.310	5.687	914.139
480	914.340	5.299	914.174
481	914.370	4.919	914.199
482	914.400	4.689	914.232
483	914.430	4.484	914.260
484	914.460	4.395	914.289
485	914.490	4.221	914.324
486	914.520	3.989	914.352
487	914.550	3.780	914.383
488	914.580	3.519	914.410
489	914.610	3.358	914.445
490	914.640	3.200	914.469
491	914.670	3.006	914.501
492	914.700	2.730	914.530
493	914.730	2.329	914.559
494	914.760	1.867	914.590
495	914.790	1.136	914.620
496	914.820	0.492	914.650
497	914.850	-0.046	914.681
498	914.880	-0.546	914.709
499	914.910	-0.969	914.740
500	914.940	-1.343	914.775
501	914.970	-1.741	914.801
502	915.000	-2.362	914.829
503	915.030	-2.957	914.860
504	915.060	-3.523	914.890
505	915.090	-4.030	914.923
506	915.120	-4.411	914.948
507	915.150	-4.813	914.984
508	915.180	-5.140	915.012
509	915.210	-5.531	915.039
510	915.240	-5.967	915.073
511	915.270	-6.249	915.104
512	915.300	-6.547	915.129
513	915.330	-6.755	915.159
514	915.360	-6.749	915.195
515	915.390	-6.838	915.224
516	915.420	-6.725	915.251
517	915.450	-6.522	915.282
518	915.480	-6.410	915.311
519	915.510	-6.130	915.341
520	915.540	-5.939	915.371
521	915.570	-5.760	915.399
522	915.600	-5.538	915.433
523	915.630	-5.420	915.460
524	915.660	-5.347	915.490
525	915.690	-5.281	915.523
526	915.720	-5.080	915.548
527	915.750	-4.978	915.581
528	915.780	-4.851	915.609
529	915.810	-4.854	915.641
530	915.840	-4.788	915.672
531	915.870	-4.604	915.700
532	915.900	-4.109	915.730
533	915.930	-3.685	915.763
534	915.960	-3.331	915.792
535	915.990	-2.793	915.823
536	916.020	-2.205	915.850
537	916.050	-1.653	915.883
538	916.080	-1.096	915.910
539	916.110	-0.672	915.938
540	916.140	-0.298	915.968
541	916.170	0.100	916.003
542	916.200	0.496	916.030
543	916.230	0.797	916.064
544	916.260	1.208	916.092
545	916.290	1.665	916.118
546	916.320	2.220	916.154
547	916.350	2.725	916.181
548	916.380	3.482	916.212
549	916.410	4.129	916.244
550	916.440	4.811	916.273
551	916.470	5.312	916.301
552	916.500	5.736	916.328
553	916.530	6.094	916.364
554	916.560	6.321	916.391
555	916.590	6.247	916.422
556	916.620	6.057	916.452
557	916.650	5.875	916.480
558	916.680	5.955	916.512
559	916.710	6.058	916.546
560	916.740	6.245	916.573
561	916.770	6.500	916.601
562	916.800	6.861	916.630
563	916.830	7.157	916.658
564	916.860	7.520	916.690
565	916.890	7.579	916.721
566	916.920	7.586	916.751
567	916.950	7.394	916.785
568	916.980	7.006	916.813
569	917.010	6.605	916.840
570	917.040	6.097	916.874
571	917.070	5.569	916.900
572	917.100	5.092	916.932
573	917.130	4.603	916.959
574	917.160	4.050	916.991
575	917.190	3.590	917.019
576	917.220	3.147	917.051
577	917.250	2.815	917.083
578	917.280	2.424	917.114
579	917.310	1.965	917.140
580	917.340	1.272	917.173
581	917.370	0.577	917.202
582	917.400	-0.299	917.233
583	917.430	-1.069	917.260
584	917.460	-1.809	917.290
585	917.490	-2.483	917.320
586	917.520	-3.005	917.351
